,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
164,"18-20.06.2021 Кваліфікаційний турнір 2 розряду ""Шахова Школа"" DREAM TOWN-2",20210618,20210620,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Ритенко В., Мамедов Р., Хріновський О.",Київ,UKR,20.06.2021  18:17 ,0,24,9,9,564546,Schweizer System                                            ,6
165,ЛОШФ(ЛЬВІВ) КТ з нормою 4-го розряду 20.06.21р,20210620,20210620,Львівська Обласна Шахова Федерація,Фірман Назар,Масляк Данило,,Борецький Сергій,Львів,UKR,20.06.2021  17:52 ,0,20,9,9,566065,Schweizer System                                            ,6
166,ВЧМ-2021 Бліц Шахи до Дня Конституції України,20210620,20210620,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,20.06.2021  17:12 ,0,10,10,10,566520,Schweizer System                                            ,6
167,"Чемпіонат Волинської області з класичних шахів""Кубок президента Волинської шахової федерації Андрія Ковальчука""",20210618,20210620,,,Черняк Олена Євгеніївна,,,м. Луцьк Волинська область,UKR,20.06.2021  16:39 ,0,24,9,9,566116,Schweizer System                                            ,6
168,Відкритий кубок Київської області зі швидких шахівсеред юнаків та дівчат до 15 років (2006-2010 р.н.),20210620,20210620,Денис Брязкало,Денис Брязкало,"Юрій Пепа, міжнародний арбітр",Дарда Роман,,Вишгород,UKR,20.06.2021  16:11 ,0,26,7,7,564734,Schweizer System                                            ,6
169,Відкритий кубок Київської області зі швидких шахівсеред юнаків та дівчат до 15 років (2011-2012 р.н.),20210620,20210620,Денис Брязкало,Денис Брязкало,"Юрій Пепа, міжнародний арбітр",Дарда Роман,,Вишгород,UKR,20.06.2021  16:00 ,0,20,7,7,566156,Schweizer System                                            ,6
170,Відкритий кубок Київської області зі швидких шахівсеред юнаків та дівчат до 15 років (2013 р.н. і молодші),20210620,20210620,Денис Брязкало,Денис Брязкало,"Юрій Пепа, міжнародний арбітр",Дарда Роман,,Вишгород,UKR,20.06.2021  16:00 ,0,15,7,7,564735,Schweizer System                                            ,6
171,ВЧМ-2021 Швидкі Шахи до Дня Конституції України,20210620,20210620,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,20.06.2021  14:20 ,0,8,10,10,566519,Schweizer System                                            ,6
172,ЛОШФ(Львів) з нормою 3-го розряду 20.06.2021р.,20210620,20210620,Львівська Обласна Шахова Федерація,Фірман Назар,Масляк Данило,,Борецький Сергій,Львів,UKR,20.06.2021  13:22 ,0,24,9,9,566014,Schweizer System                                            ,6
173,"19-20.06.2021 Кваліфікаційний турнір 4 розряду""Шахова Школа"" DREAM TOWN-2",20210619,20210620,Шахова Школа,Семенов Д.,Ритенко В.,,Приходько О.,Київ,UKR,20.06.2021  12:12 ,0,19,9,9,564666,Schweizer System                                            ,6
174,"19-20.06.2021 Кваліфікаційний турнір серед безрозрядників""Шахова Школа"" DREAM TOWN-2",20210619,20210620,Шахова Школа,Семенов Д.,Ритенко В.,,Приходько О.,Київ,UKR,20.06.2021  12:12 ,0,30,9,9,564667,Schweizer System                                            ,6
175,Кубок ПІШАК-2021 Бліц Шахи до 100-ліття Христофора Трача,20210619,20210619,"ГО ""Федераціяя шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,19.06.2021  20:32 ,0,14,10,10,566324,Schweizer System                                            ,6
176,Кубок ПІШАК-2021 Швидкі Шахи до 100-ліття Христофора Трача,20210619,20210619,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,19.06.2021  20:32 ,0,12,10,10,566323,Schweizer System                                            ,6
177,"ChessCamp ""Bulgaria - 2021"" Rapid",20210613,20210613,"""LSHA"" and ""Chess School""","14104490, Firman, Nazar (UKR) GM","14104482 Semenov, Dmitri (UKR) IM",,,Nesebir,UKR,19.06.2021  11:23 ,0,29,12,12,566336,Schweizer System                                            ,6
178,Кирилівка-2021-Б,20210609,20210617,Каграманянц В.С.,,Дружинець О.В.,,,"Кириллівка, Запорізька обл.",UKR,17.06.2021  21:26 ,0,18,9,9,564704,Schweizer System                                            ,6
179,Kyrylivka-2021,20210609,20210617,"Kagramanianz, Vartan (ARM)",,"14141787 Druzshinets, Oleksiy (UKR)","14118025 Moskalets, Natalia (UKR)",,"Kyrylivka, Zaporozhye region",UKR,17.06.2021  21:26 ,0,16,9,9,564707,Schweizer System                                            ,6
180,"SUMMER DEBUT (16-06-2021, BLITZ)",20210616,20210616,"Chess school ""DEBUT""","Stavroyany, Sergey","Pepa Yurij (UKR), MA /14136422/",,,Kyiv,UKR,16.06.2021  17:48 ,0,40,11,11,564612,Schweizer System                                            ,6
181,"Відкритий турнір з швидких шахів ""Літній Дебют"" - 2021 (2 та 3 розряди)",20210615,20210616,"Шахова школа ""ДЕБЮТ""",Ставрояні Сергій,"Юрій Пепа, міжнародний арбітр","Анатолій Кабанов, національний арбітр",,Київ,UKR,16.06.2021  12:07 ,0,17,9,9,564619,Schweizer System                                            ,6
182,"Відкритий турнір з швидких шахів ""Літній Дебют"" - 2021 (4 розряди та б/р)",20210615,20210616,"Шахова школа ""ДЕБЮТ""",Ставрояні Сергій,"Юрій Пепа, міжнародний арбітр","Анатолій Кабанов, національний арбітр",,Київ,UKR,16.06.2021  12:01 ,0,30,9,9,564620,Schweizer System                                            ,6
183,Rybakivka - 2021. Tournament A,20210611,20210616,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336","Rybakivka, Mykolaiv Region",UKR,16.06.2021  11:58 ,0,16,9,9,553239,Schweizer System                                            ,6
184,Рибаківка - 2021. Турнір В,20210611,20210616,віце-президент ФШМО мс Горощенко Д.В.,віце-президент ФШМО мс Горощенко Д.В.,"IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336","Rybakivka, Mykolaiv Region",UKR,16.06.2021  11:14 ,0,32,9,9,553238,Schweizer System                                            ,6
185,"Шаховий фестиваль ""Рибаківка - 2021"". Турнір D",20210611,20210616,віце-президент ФШМО мс Горощенко Д.В.,віце-президент ФШМО мс Горощенко Д.В.,МА Ларкін С.Ю.,Андрущак М.Ю.,,смт Рибаківка Миколаївської обл.,UKR,16.06.2021  09:56 ,0,19,9,9,565074,Schweizer System                                            ,6
186,"Відкритий турнір з швидких шахів для дітей ""Літній Дебют"" - 2021",20210615,20210615,"Шахова школа ""ДЕБЮТ""",Ставрояні Сергій,"Юрій Пепа, міжнародний арбітр","Анатолій Кабанов, національний арбітр",,Київ,UKR,15.06.2021  17:11 ,0,21,7,7,564618,Schweizer System                                            ,6
187,Cup of Khrystynopil-2021,20210613,20210613,Національний Корпус Червонограда,Рейман Олександр,Лещишак Ігор,,Вахула Андрій,Червоноград,UKR,15.06.2021  13:01 ,0,40,9,9,564760,Schweizer System                                            ,6
188,Ukraine Chess Championship - 2021` (Boys - 8) Blitz									,20210615,20210615,UCF,,"14128748 Tovchyga, Oleg (UKR) IA  ",,,Odesa,UKR,15.06.2021  12:15 ,0,77,9,9,562245,Schweizer System                                            ,6
189,Ukraine Chess Championship - 2021 (Girls - 8) Blitz										,20210615,20210615,UCF,,"14128748 Tovchyga, Oleg (UKR) IA  ",,,Odesa,UKR,15.06.2021  12:14 ,0,22,9,9,562244,Schweizer System                                            ,6
190,Чемпіонат ФШВ 1-КМС (швидкі),20210612,20210612,,,"Roienko, Artur",,,Вінниця,UKR,15.06.2021  10:14 ,0,28,9,9,565427,Schweizer System                                            ,6
191,Championship of Vinnytsia (Rapid),20210612,20210612,,"Bodnar, Nikolay (UKR)   ","Roienko, Artur (UKR)",,,Vinnytsia,UKR,15.06.2021  10:14 ,0,30,9,9,565180,Schweizer System                                            ,6
192,Чемпіонат ФШВ серед 2-х розрядів (Вінниця),20210612,20210613,,,,,,Вінниця,UKR,15.06.2021  10:14 ,0,24,8,8,565248,Schweizer System                                            ,6
193,Чемпіонат ФШВ серед 3-х розрядів (Вінниця),20210612,20210613,,,,,,Вінниця,UKR,15.06.2021  10:13 ,0,23,8,8,565195,Schweizer System                                            ,6
194,Чемпіонат ФШВ серед 1-юн розрядів (Вінниця),20210612,20210613,,,,,,Вінниця,UKR,15.06.2021  10:12 ,0,21,8,8,565203,Schweizer System                                            ,6
195,Чемпіонат ФШВ серед безрозрядників (Вінниця),20210612,20210613,,,,,,Вінниця,UKR,15.06.2021  10:11 ,0,17,7,7,565249,Schweizer System                                            ,6
196,Ukraine Chess Championship - 2021 (Boys - 8) Rapid					,20210614,20210614,UCF,,"14128748 Tovchyga, Oleg (UKR) IA  ",,,Odesa,UKR,14.06.2021  20:22 ,0,84,9,9,562238,Schweizer System                                            ,6
197,Ukraine Chess Championship - 2021 (Girls - 8) Rapid					,20210614,20210614,UCF,,"14128748 Tovchyga, Oleg (UKR) IA  ",,,Odesa,UKR,14.06.2021  17:40 ,0,30,9,9,562243,Schweizer System                                            ,6
198,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 10 років - БЛІЦ,20210614,20210614,Управління спорту Івано-Франківської ОДА,,В.І.Палагіцький,,Н.Палагіцька,,UKR,14.06.2021  16:21 ,0,27,9,9,565643,Schweizer System                                            ,6
199,Crowned Pawn Rapid,20210612,20210612,"Trokhymyshyn, Sergii","Trokhymyshyn, Sergii","Bodnar, Nikolay (UKR) ","Trokhymyshyn, Ivan (UKR)",,Gryshkivtsy,UKR,14.06.2021  13:48 ,0,84,9,9,565642,Schweizer System                                            ,6
200,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 10 років - Рапід,20210614,20210614,Управління спорту Івано-Франківської ОДА,,В.І.Палагіцький,,Н.Палагіцька,,UKR,14.06.2021  13:29 ,0,27,9,9,565597,Schweizer System                                            ,6
201,1йМіжнар шаховий фестиваль присв 50й річниці заснування Маріупольського Шах Клуб,20210608,20210613,Федерація Шахів м. Маріуполя Комун заклад М. Спорт- Спорт для всіх,,Олександр Прохоров,,"Володимир Пономарчук, Олександр Варава, Олег Темірбек, Вячеслав Шахайло",м. Маріуполь Донецької області,UKR,13.06.2021  21:35 ,0,59,9,9,565546,Schweizer System                                            ,6
202,"КВАЛІФІКАЦІЙНИЙ турнір з нормою 1 розряду, (11-13.06.2021),Київ.",20210611,20210613,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Юлія Рахмангулова /14139154/ Анатолій Жестєрьов /14112680/,Київ,UKR,13.06.2021  20:01 ,0,35,9,9,564639,Schweizer System                                            ,6
203,"КВАЛІФІКАЦІЙНИЙ турнір з нормою 2 розряду, (11-13.06.2021), Київ.",20210611,20210613,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Юлія Рахмангулова /14139154/ Анатолій Жестєрьов /14112680/,Київ,UKR,13.06.2021  18:03 ,0,30,9,9,564640,Schweizer System                                            ,6
204,Kyrylivka_(Blitz) 2021,20210613,20210613,"Kagramanianz, Vartan (ARM)",,"Druzshinets, Oleksiy (UKR)",,,"Kyrylivka, Zaporozhye region",UKR,13.06.2021  17:23 ,0,12,9,9,565456,Schweizer System                                            ,6
205,І турнір з шахів пам`яті Євгена Боженка     с.Угерсько Стрийський район,20210612,20210612,"Шахова-шашкова федерація Стрийщини, Стрийська ДЮСШ сестер Музичук",Музичук Олег,Соловйов Олександр,Музичук Наталія,,с.Угерсько Стрийський район,UKR,13.06.2021  17:18 ,0,68,9,9,565343,Schweizer System                                            ,6
206,Rybakivka - 2021. Tournament C(blitz),20210613,20210613,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336","Rybakivka, Mykolaiv Region",UKR,13.06.2021  17:11 ,0,34,9,9,553237,Schweizer System                                            ,6
207,ЛОШФ_КТ з нормою 2-го розряду 12-13.06.21р.,20210612,20210613,Львівська Обласна Шахова Федерація,Фірман Назар,Борецький Сергій,,,Львів,UKR,13.06.2021  16:11 ,0,17,9,9,564733,Schweizer System                                            ,6
208,Кубок Бучі для дітей 2014 р.н. та молодше ,20210612,20210612,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,13.06.2021  15:33 ,0,10,7,7,565509,Schweizer System                                            ,6
209,"KUBOK - ZABOLOTTIA - Open , Cup 2021 (Rapid)",20210613,20210613,,,"14143950 Cherniak, Olena  (UKR) NA",,,смт. Заболоття Волинська область,UKR,13.06.2021  15:19 ,0,34,7,7,565336,Schweizer System                                            ,6
210,Першість шахової школи В.Іванчука з нормою 2 розряду 12 -13.06.2021,20210612,20210613,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,13.06.2021  15:15 ,0,13,9,9,563673,Schweizer System                                            ,6
211,"КВАЛІФІКАЦІЙНИЙ турнір з нормою 3 розряду, (12-13.06.2021),Київ.",20210612,20210613,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Юлія Рахмангулова /14139154/ Анатолій Жестєрьов /14112680/,Київ,UKR,13.06.2021  15:02 ,0,29,9,9,564641,Schweizer System                                            ,6
212,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 10 років-КЛАСИКА,20210611,20210613,Управління спорту Івано-Франківської ОДА,В.І.Палагіцький,В.І.Палагіцький,,Н.Палагіцька,Івано-Франківськ,UKR,13.06.2021  14:51 ,0,36,9,9,564493,Schweizer System                                            ,6
213,"Чемпіонат ГО ""ФШмІ-Ф"" Швидкі Шахи до Дня Батька",20210613,20210613,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,13.06.2021  14:40 ,0,7,10,10,565425,Schweizer System                                            ,6
214,Першість шахової школи В.Іванчука з нормою 1 розряду 11-13.06.2021,20210611,20210613,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,13.06.2021  14:39 ,0,24,9,9,563671,Schweizer System                                            ,6
215,Відкрита першість РК ДЮСШ Авангард  ( турнір 1 розряду),20210610,20210613,РК ДЮСШ Авангард  м. Київ,," FA Ніколаєв Л,В,",,"Попов П,П,",Київ,UKR,13.06.2021  14:28 ,0,27,9,9,564705,Schweizer System                                            ,6
216,Першість шахової школи В.Іванчука з нормою 3 розряду 12.06.2021,20210612,20210612,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,13.06.2021  14:15 ,0,19,9,9,563674,Schweizer System                                            ,6
217,ЛОШФ_КТ з нормою 3-го розряду 13.06.2021р,20210613,20210613,Львівська Обласна Шахова Федерація,Фірман Назар,Масляк Данило,,,Львів,UKR,13.06.2021  13:31 ,0,21,9,9,562204,Schweizer System                                            ,6
218,Чемпіонат України з шахів (класичні) серед юнаків до 8 років,20210605,20210613,"Мінмолодьспорту, ФШУ",,МА Товчига О.Г. /Київ/,АФ Голубєв С.А. /Одеса/,,Одеса,UKR,13.06.2021  13:20 ,0,81,9,9,561366,Schweizer System                                            ,6
219,"Відкритий кваліфікаційний турнір серед вихованців ХДЮСШ, турнір В",20210609,20210613,,,Крижановська Ж.М.,,,Херсон,UKR,13.06.2021  13:09 ,0,26,9,9,565290,Schweizer System                                            ,6
220,Чемпіонат України з шахів (класичні) серед дівчат до 8 років,20210605,20210613,"Мінмолодьспорту України, ФШУ",,МА Товчига О.Г. /Київ/,АФ Голубєв С.А. /Одеська/,,Одеса,UKR,13.06.2021  12:37 ,0,28,9,9,561740,Schweizer System                                            ,6
221,Weekend tournament Dnipro,20210612,20210612,Dnepropetrovsk region chess federation,,"14129388 Timoshenko, Irina (UKR) NA",,,Dnipro,UKR,13.06.2021  12:17 ,0,19,9,9,564545,Schweizer System                                            ,6
222,"Мемориал Александра Момота 2021, турнир С",20210605,20210613,,,Мартынков А.В.,,,,UKR,13.06.2021  12:04 ,0,18,9,9,564127,Schweizer System                                            ,6
223,"КВАЛІФІКАЦІЙНИЙ турнір з нормою 1 юнацького розряду (12-13.06.2021),Київ.",20210612,20210613,"ГО Шаховий центр, Федерація шахів м. Києва",Олег Коваль  ,Олег Коваль /14140870/ ,,Юлія Рахмангулова /14139154/ Анатолій Жестєрьов /14112680/,Київ,UKR,13.06.2021  11:58 ,0,27,9,9,564952,Schweizer System                                            ,6
224,Chempionship of Ukraine is among veterans 50+,20210607,20210613,The Ukrainian Chess Federations,"Chesnokov, Evgeniy","Makarevich, Vladimir",,,Dnipro,UKR,13.06.2021  11:33 ,0,12,9,9,564418,Schweizer System                                            ,6
225,"Чемпіонат ГО ""ФШмІ-Ф"" Бліц Шахи до 130-річчя Євгена Коновальця",20210612,20210612,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,12.06.2021  17:28 ,0,11,12,12,565256,Schweizer System                                            ,6
226,Kyrylivka_(Rapid),20210611,20210612,"Kagramanianz, Vartan (ARM)",,"Druzshinets, Oleksiy (UKR)",,,"Kyrylivka, Zaporozhye region",UKR,12.06.2021  17:24 ,0,15,9,9,565078,Schweizer System                                            ,6
227,Першість шахової школи В.Іванчука з нормою 4 розряду 12.06.2021,20210612,20210612,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,12.06.2021  15:46 ,0,27,9,9,563675,Schweizer System                                            ,6
228,"Чемпіонат ГО ""ФШмІ-Ф"" Швидкі Шахи до 130-річчя Євгена Коновальця",20210612,20210612,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,12.06.2021  14:22 ,0,10,10,10,565255,Schweizer System                                            ,6
229,Квалфікаційний турнір з нормою 3-го спортивного (м. Миколаїв),20210607,20210611,Федерація шахів Миколаївської області,МС Горощенко Д.В.,Шарипов А.Ж.,,Пен Лі Лі,м. Миколаїв,UKR,11.06.2021  14:06 ,0,30,10,10,562523,Schweizer System                                            ,6
230,Кваліфікаційний турнір з нормою 1-го юнацького (м. Миколаїв),20210607,20210611,Федерація шахів Миколаївської області,МС Горощенко Д.В.,Шарипов А.Ж.,,Пен Лі Лі,м. Миколаїв,UKR,11.06.2021  10:00 ,0,27,10,10,562521,Schweizer System                                            ,6
231,ІХ Всеукраїнська спартакіада народних депутатів України_шашки_чоловіки,20210608,20210611,,,н.а. В.Б. Білий,,,м. Чорноморськ,UKR,11.06.2021  09:26 ,0,14,9,9,564556,Schweizer System                                            ,6
232,ІХ Всеукраїнська спартакіада народних депутатів України_шашки_жінки,20210608,20210611,,,,,н.а. В.Б. Білий,м. Чорноморськ,UKR,11.06.2021  09:25 ,0,13,9,9,564559,Schweizer System                                            ,6
233,ІХ Всеукраїнська спартакіада народних депутатів України_шахи_чоловіки,20210608,20210611,,,м.а. В.Б. Білий,,,м. Чорноморськ,UKR,11.06.2021  09:25 ,0,14,9,9,564560,Schweizer System                                            ,6
234,Турнір пам'яти О.С.Мороза,20210609,20210610,ДЮСШ №9 ,,Тимошенко І.В.,,,Дніпро,UKR,10.06.2021  17:49 ,0,30,9,9,564676,Schweizer System                                            ,6
235,"Всеукраїнський дитячий фестиваль""Шахові надії України - 2021""",20210603,20210610,віце-президент ФШМО мс Горощенко Д.В.,віце-президент ФШМО мс Горощенко Д.В.,"IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336","с. Чорноморка, Миколаївська обл.",UKR,10.06.2021  17:37 ,0,32,9,9,563896,Schweizer System                                            ,6
236,The Chess Hopes Of Ukraine. Tournament A,20210603,20210610,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336",Mykolaiv,UKR,10.06.2021  17:36 ,0,32,9,9,553244,Schweizer System                                            ,6
237,Чемпіонат м.Черкаси з класичних шахів серед юнаків та дівчат,20210529,20210606,"Департамент освіти м.Черкаси, ПНЗ ""Багатопрофільний молодіжний центр"" ЧМР",,Чопоров А.В. 2к.,Фінкель В.Б. 1к.,Григор'єв О.В.,"м. Черкаси, вул. Благовісна, 170",UKR,09.06.2021  18:45 ,0,20,9,9,564711,Schweizer System                                            ,6
238,The Chess Hopes Of Ukraine. Tournament C (rapid),20210607,20210607,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336",Mykolaiv,UKR,07.06.2021  16:10 ,0,23,9,9,553242,Schweizer System                                            ,6
239,"""Відкритий Кубок Києва-2021"" дитяча ПЕРША ліга",20210606,20210606,Шахова Школа,Семенов Д.,Семенов Д.,,Ритенко В.,"Київ, пр-т Оболонський 21, ""Шахова Школа""DreamTown2",UKR,06.06.2021  17:39 ,0,25,7,7,563584,Schweizer System                                            ,6
240,ВІдкрита першість РК ДЮСШ Авангард серед 2 розрядів,20210604,20210606,"РК ДЮСШ ""Авангард""",Попов П.П.,Гриньов В.В.,Попов П.П.,Ніколаєв Л.В.,Київ,UKR,06.06.2021  17:21 ,0,22,9,9,563956,Schweizer System                                            ,6
241,Турнір до для захисту дітей - Б,20210606,20210606,"Новояворівська міська рада, Спорт для всіх, НШК",Матвійчук А.В.,Матвійчук Б.А.,,,"м. Новояворівськ, Львівська обл.",UKR,06.06.2021  15:47 ,0,32,9,9,563694,Schweizer System                                            ,6
242,Турнір до Дня захисту дітей (Жмеринка),20210605,20210606,,Жмеринська федерація шахів,Роєнко Артур,Личкін Віктор,,Жмеринка,UKR,06.06.2021  14:56 ,0,63,9,9,564050,Schweizer System                                            ,6
243,Турнір до Дня захисту дітей (безрозряду Жмеринка),20210605,20210606,,Жмеринська федерація шахів,Роєнко Артур,Личкін Віктор,,Жмеринка,UKR,06.06.2021  14:48 ,0,25,9,9,564076,Schweizer System                                            ,6
244,"""Відкритий Кубок Києва-2021"" дитяча ВИЩА ліга",20210606,20210606,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,"14105128, Prihodko, Alexander (UKR) FA,IO  ","Kyiv, Obolon avenue 21,""Chess School""DreamTown2",UKR,06.06.2021  14:48 ,0,37,7,7,563585,Schweizer System                                            ,6
245,Літня першість МЦДЮТ,20210604,20210604,,,Федів Олександр,Тегзе Микола,"Кейк Микола, Вачиля Андрій, Щербаков Сергій",Мукачево,UKR,06.06.2021  13:52 ,0,39,9,9,563897,Schweizer System                                            ,6
246,IX літні Всеукраїнські ігри ветеранів спорту пам'яті М.М.Баки. Блискавичні шахи (50+),20210606,20210606,"ФШУ, ДОШФ",Chesnokov E.G.,"Makarevich, Vladimir",,,Dnipro,UKR,06.06.2021  13:50 ,0,13,11,11,564227,Schweizer System                                            ,6
247,Кваліфікаційний турнір з нормою 4 розряду (05-06 червня м.Буча),20210605,20210605,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,06.06.2021  13:49 ,0,16,9,9,564108,Schweizer System                                            ,6
248,IX літні Всеукраїнські ігри ветеранів спорту пам'яті М.М.Баки. Блискавичні шахи (65+),20210606,20210606,"ФШУ, ДОШФ",Chesnokov E.G.,"Makarevich, Vladimir",,,,UKR,06.06.2021  13:46 ,0,13,11,11,564226,Schweizer System                                            ,6
249,ЛОШФ КТ з нормою 4-го розряду - 06.06 Львів ,20210530,20210530,"ЛОШФ, ЛША",14104490 Фірман Назар,34125035 Красногор Юрій,,,Львів,UKR,06.06.2021  13:07 ,0,26,9,9,550598,Schweizer System                                            ,5
250,"Турнир 4 разряда РК ДЮСШ ""Авангард""",20210605,20210606,"РК ДЮСШ ""Авангард""",,Николаев Л.В.,,Попов П.П.,Киев,UKR,06.06.2021  12:22 ,0,53,9,9,563985,Schweizer System                                            ,6
251,Чемпіонат Херсонської області з шахів серед юнаків до 10 років,20210602,20210606,"Упр-я фіз.культури ,молоді та спорту ХДА, упр-я молоді та спорту ХМР, ДЮСШ з шах",,Хорошавіна О.В.,,"Богданова Л.П., Козак Л.М.","Херсон, ДЮСШ з шахів і шашок",UKR,06.06.2021  12:01 ,0,26,9,9,563587,Schweizer System                                            ,6
252,"Мемориал Александра Момота 2021, турнир E",20210604,20210606,,,Мартынков А.В.,,,Краматорск,UKR,06.06.2021  12:00 ,0,18,9,9,563888,Schweizer System                                            ,6
253,"Мемориал Александра Момота 2021, турнир D",20210604,20210606,,,Мартынков А.В.,,,Краматорск,UKR,06.06.2021  12:00 ,0,18,9,9,563889,Schweizer System                                            ,6
254,Фінал чемпіонату Черкаської області з шахів серед юнаків до 12 років,20210522,20210524,Черкаська обласна федерація шахів,,Чопоров А.В. 2 к.,Карчевський А.А.,,"м. Сміла, Черкаська область",UKR,06.06.2021  11:37 ,0,22,9,9,561810,Schweizer System                                            ,5
255,Відкрита першість Школи Think Global 2021,20210605,20210605,"Think Global, Ромашов Антон",Дубченко Надія,Ромашов Антон,,,,UKR,06.06.2021  10:22 ,0,41,9,9,562368,Schweizer System                                            ,6
256,"05.06.2021. OPEN-BLITZ ""Chess School - 2021""",20210605,20210605,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,"14105128, Prihodko, Alexander (UKR) FA,IO, ","DreamTown2, Kyiv, Obolon avenue 21",UKR,05.06.2021  18:46 ,0,49,11,11,563507,Schweizer System                                            ,6
257,The Chess Hopes Of Ukraine. Tournament D (blitz),20210605,20210605,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Khamzin, Ruslan 14118505","IA Larkin, Sergii 14175630","Goroshchenko, Dmitry 14115336",Mykolaiv,UKR,05.06.2021  17:07 ,0,33,9,9,553241,Schweizer System                                            ,6
258,IX літні Всеукраїнські ігри ветеранів спорту пам'яті М.М.Баки. Швидкі шахи (50+),20210604,20210605,"ФШУ, ДОШФ",Chesnokov E.G.,"Makarevich, Vladimir",,,Dnipro,UKR,05.06.2021  16:24 ,0,13,11,11,563924,Schweizer System                                            ,6
259," III міжнародний шаховий фестиваль ""Кубок Щасливих дітей 2021"". Турнір B",20210605,20210605,"""Школа Дружня До Дитини""",14124556 Корман Роман,Тарас Цитуля,34125035 Красногор Юрій,,Львів,UKR,05.06.2021  15:23 ,0,25,9,9,563679,Schweizer System                                            ,6
260," III міжнародний шаховий фестиваль ""Кубок Щасливих дітей 2021"". Турнір C",20210605,20210605,"""Школа Дружня До Дитини""",14124556 Корман Роман,Тарас Цитуля,34125035 Красногор Юрій,,Львів,UKR,05.06.2021  14:54 ,0,27,9,9,563683,Schweizer System                                            ,6
